NFLID,Short_Name,Full_Name,Date_of_Birth,Height,Weight,College,Years_Pro,Jersey_Number
00-0028250,A.Silvestro,Alex Silvestro,11/15/1988,75,260,Rutgers,1,
00-0028251,J.Tarpinian,Jeff Tarpinian,10/16/1987,75,240,Iowa,4,52
00-0028256,S.Siliga,Sealver Siliga,4/26/1990,74,345,Utah,6,96
00-0028705,D.Alford,Dominic Alford,2/22/1988,75,320,Minnesota,1,
00-0028254,C.Koepplin,Chris Koepplin,10/11/1985,75,215,Massachusetts,1,
00-0028707,C.Bryant,Corbin Bryant,1/4/1988,76,300,Northwestern,4,97
00-0028709,C.Bryant,Charlie Bryant,9/11/1987,80,320,Memphis,2,
00-0028258,D.Akinniyi,David Akinniyi,6/23/1988,76,256,North Carolina State,1,
00-0029071,,Kamar Jorden,5/17/1989,75,200,Bowling Green State,1,12
00-0029070,B.Felder,Bobby Felder,9/23/1990,71,200,Nicholls State,2,39
00-0029073,T.Nielsen,Tyler Nielsen,6/1/1988,75,238,Iowa,1,
00-0029075,C.Paredes,Corey Paredes,8/23/1989,70,230,Hawaii,1,
00-0029074,E.Owusu,Ernest Owusu,5/26/1988,76,275,California,1,
00-0029076,A.Pasztor,Austin Pasztor,11/26/1990,79,308,Virginia,4,67
00-0029079,Q.Saulsberry,Quentin Saulsberry,10/14/1988,75,300,Mississippi State,1,
00-0019587,T.Smith,Terrelle Smith,3/12/1978,72,246,Arizona State,10,
00-0028551,L.Cox,Landon Cox,6/19/1989,75,220,Northern Illinois,2,
00-0030112,T.Bohanon,Tommy Bohanon,9/10/1990,73,247,Wake Forest,4,40
00-0025567,J.Rogers,Justin Rogers,8/31/1983,76,250,Southern Methodist,3,
00-0025566,H.Blades,H.B. Blades,9/30/1984,70,242,Pittsburgh,5,
00-0025565,N.Folk,Nick Folk,11/5/1984,73,222,Arizona,10,2
00-0025564,J.Bender,Jacob Bender,4/25/1985,78,315,Nicholls State,5,
00-0025562,O.O'Neal,Oren O'Neal,9/8/1983,71,245,Arkansas State,3,
00-0025561,T.Smith,Troy Smith,7/20/1984,72,217,Ohio State,4,
00-0025560,M.Coe,Michael Coe,12/17/1983,72,187,Alabama State,6,
00-0025569,A.Hayward,Adam Hayward,6/23/1984,73,240,Portland State,9,55
00-0025568,R.Maui'a,Reagan Maui'a,7/6/1984,72,265,Hawaii,6,
00-0025877,M.Buggs,Marcus Buggs,9/21/1985,70,223,Vanderbilt,2,
00-0031686,,B.J. McBryde,10/21/1991,77,304,Connecticut,2,60
00-0029615,L.Miller,Lamar Miller,4/25/1991,70,225,Miami (Fla.),5,26
00-0029614,C.Givens,Chris Givens,12/6/1989,72,203,Wake Forest,5,19
00-0029617,J.Massaquoi,Jonathan Massaquoi,5/11/1988,74,264,Troy,4,46
00-0029616,R.Watkins,Rokevious Watkins,2/24/1989,75,338,South Carolina,3,69
00-0029611,A.Brown,Aaron Brown,9/24/1988,72,237,Hawaii,1,
00-0029610,M.Harris,Mike Harris,1/5/1989,70,188,Florida State,4,37
00-0029613,D.Martin,Doug Martin,1/13/1989,69,223,Boise State,5,22
00-0029612,D.Richardson,Daryl Richardson,4/12/1990,71,196,Abilene Christian,3,38
00-0032967,,Vernon Butler,6/14/1994,76,325,Louisiana Tech,0,92
00-0032966,,Corey Coleman,7/6/1994,71,185,Baylor,0,19
00-0032965,,Ronnie Stanley,3/18/1994,78,320,Notre Dame,0,79
00-0032964,,Byron Marshall,2/13/1994,69,201,Oregon,0,39
00-0029619,J.Lane,Jorvorskie Lane,2/4/1987,71,258,Texas A&M,3,46
00-0029618,C.Gatewood,Corey Gatewood,7/13/1988,70,190,Stanford,1,
00-0032960,,Wynton McManis,9/20/1994,73,225,Memphis,0,48
00-0031688,,Denzel Rice,3/31/1993,72,196,Coastal Carolina,2,35
00-0029880,J.Stewart,Jonathan Stewart,11/23/1990,75,254,Texas A&M,1,0
00-0029882,M.Brooks,Michael Brooks,8/28/1991,75,276,East Carolina,2,70
00-0029883,J.Fauria,Joseph Fauria,1/16/1990,79,267,UCLA,3,80
00-0029884,A.Holtz,Austin Holtz,11/1/1989,77,301,Ball State,,
00-0030883,J.Mauro,Josh Mauro,2/17/1991,78,282,Stanford,3,97
00-0029887,,Joe Madsen,9/1/1989,75,310,West Virginia,1,0
00-0026035,D.Amendola,Danny Amendola,11/2/1985,71,190,Texas Tech,8,80
00-0026032,T.Smith,Taj Smith,9/30/1983,72,192,Syracuse,3,
00-0029889,,Patrick Omameh,12/29/1989,76,305,Michigan,3,65
00-0026039,J.Crosslin,Julius Crosslin,11/1/1983,71,245,Oklahoma State,1,
00-0024765,E.Johnson,Ed Johnson,12/18/1983,74,296,Penn State,4,
00-0024763,C.Ali,Charles Ali,8/23/1984,74,255,Arkansas-Pine Bluff,5,
00-0030888,Jon. Brown,Jonathan Brown,6/22/1992,73,230,Illinois,1,0
00-0029663,L.Lumpkin,Larry Lumpkin,5/16/1991,72,234,Carson-Newman,1,
00-0033151,,Joshua Garnett,2/21/1994,76,317,Stanford,0,65
00-0032484,,Vontarrius Dora,9/7/1992,76,256,Louisiana Tech,0,68
00-0033153,,Clayton Echard,4/29/1993,77,260,Missouri,0,85
00-0033152,,Franky Okafor,7/28/1993,75,190,Southeastern Oklahoma State,0,17
00-0033155,,Lee Hightower,7/28/1993,74,200,Houston,0,38
00-0033154,,Raphael Kirby,//,73,238,Miami (Fla.),0,0
00-0033157,,Jamal Golden,3/4/1993,72,190,Georgia Tech,0,42
00-0032485,,Elie Bouka,8/15/1992,73,205,Calgary,0,30
00-0033159,,Jake Phillips,9/4/1993,78,249,Nevada-Las Vegas,0,49
00-0033158,,Jordan Walsh,12/11/1992,74,292,Iowa,0,77
00-0032486,,Kameron Canaday,8/20/1992,76,245,Portland State,0,86
00-0032487,,Amir Carlisle,9/24/1992,70,195,Notre Dame,0,81
00-0032480,,Eddie Yarbrough,4/24/1993,75,259,Wyoming,0,65
00-0032953,,Christian Hackenberg,2/14/1995,76,228,Penn State,0,5
00-0032482,,Bralon Addison,10/12/1993,69,197,Oregon,0,2
00-0032951,,Laquon Treadwell,6/14/1995,74,215,Mississippi,0,11
00-0020867,M.Kemoeatu,Ma'ake Kemoeatu,1/10/1979,77,345,Utah,9,
00-0031096,A.Dixon,Ahmad Dixon,9/5/1991,72,205,Baylor,2,26
00-0031097,T.Mitchell,Terrance Mitchell,5/17/1992,71,190,Oregon,3,38
00-0031094,,Jeremy Gallon,2/9/1990,68,185,Michigan,1,0
00-0031095,,Charles Leno,10/9/1991,75,305,Boise State,3,72
00-0031092,Z.Hocker,Zach Hocker,8/23/1991,72,191,Arkansas,2,4
00-0031093,N.Freese,Nate Freese,8/18/1990,71,192,Boston College,0,3
00-0031090,J.Price,Jabari Price,8/31/1992,71,200,North Carolina,3,25
00-0031091,K.Small,Kiero Small,5/1/1989,69,242,Arkansas,1,35
00-0031098,,Lonnie Ballentine,4/23/1993,75,215,Memphis,3,39
00-0031099,,Kadeem Jones,3/25/1992,70,266,Western Kentucky,0,45
00-0032682,,Kache Palacio,1/30/1994,74,225,Washington State,0,0
00-0027079,V.Butler,Victor Butler,7/29/1987,74,245,Oregon State,6,57
00-0027078,T.Lang,T.J. Lang,9/20/1987,76,318,Eastern Michigan,8,70
00-0027077,B.Hartline,Brian Hartline,11/22/1986,74,200,Ohio State,7,83
00-0027076,M.Thomas,Mike Thomas,6/4/1987,68,198,Arizona,6,89
00-0027075,J.Luigs,Jonathan Luigs,8/11/1986,76,310,Arkansas,2,
00-0027074,K.Maiava,Kaluka Maiava,12/27/1986,72,230,USC,6,50
00-0027073,D.Scott,Darell Scott,3/15/1986,75,317,Clemson,4,
00-0027072,D.Washington,Donald Washington,7/28/1986,73,197,Ohio State,4,30
00-0027071,S.McGee,Stephen McGee,9/27/1985,75,227,Texas A&M;,2,
00-0027070,T.Beckum,Travis Beckum,1/24/1987,75,234,Wisconsin,5,47
00-0015601,A.Stecker,Aaron Stecker,11/13/1975,70,213,Western Illinois,10,
00-0031328,,Brandon Dixon,4/26/1990,71,203,Northwest Missouri State,2,37
00-0031329,K.Ozier,Kevin Ozier,12/24/1990,74,200,Arizona State,0,16
00-0031320,,Kevin Smith,12/21/1991,72,218,Washington,2,17
00-0031321,W.Van Hooser,Wilson Van Hooser,12/31/1990,72,195,Troy,0,81
00-0031323,,Kevin Greene,5/14/1990,76,255,USC,1,0
00-0031324,H.Miller,Horace Miller,8/28/1990,73,240,Texas-El Paso,1,46
00-0031325,S.Watkins,Sammy Watkins,6/14/1993,73,211,Clemson,3,14
00-0031326,B.Ellington,Bruce Ellington,8/22/1991,69,197,South Carolina,3,10
00-0031327,,Kevin Norwood,9/23/1989,74,210,Alabama,3,81
00-0023514,E.Mathis,Evan Mathis,11/1/1981,77,301,Alabama,12,69
00-0032359,,Ron Thompson,8/2/1993,76,268,Syracuse,0,59
00-0023516,R.Incognito,Richie Incognito,7/5/1983,75,319,Nebraska,10,64
00-0023517,A.Fincher,Alfred Fincher,8/15/1983,73,250,Connecticut,5,
00-0023510,E.Green,Eric Green,3/16/1982,71,196,Virginia Tech,5,
00-0023511,K.Paymah,Karl Paymah,11/29/1982,72,195,Washington State,6,
00-0023512,R.Moats,Ryan Moats,12/17/1982,68,210,Louisiana Tech,6,
00-0023513,K.Morrison,Kirk Morrison,2/19/1982,74,245,San Diego State,8,
00-0005091,K.Faulk,Kevin Faulk,6/5/1976,68,202,LSU,13,
00-0032351,,Mekale McKay,8/4/1993,77,210,Cincinnati,0,2
00-0032353,,Chris Milton,9/15/1992,71,190,Georgia Tech,0,40
00-0023518,C.Henry,Chris Henry,5/17/1983,76,200,West Virginia,5,
00-0023519,E.Hobbs,Ellis Hobbs,5/16/1983,69,195,Iowa State,6,
00-0032356,,Anthony Sarao,4/29/1993,71,233,USC,0,0
00-0032357,,Delvon Simmons,11/30/1992,77,295,USC,0,65
00-0016112,J.Taylor,Jason Taylor,9/1/1974,78,244,Akron,15,
00-0030983,,Abasi Salimu,4/14/1990,77,310,Nicholls State,0,60
00-0030059,E.Ansah,Ezekiel Ansah,5/29/1989,77,279,Brigham Young,4,94
00-0026857,D.Ellerbe,Dannell Ellerbe,11/29/1985,73,245,Georgia,8,59
00-0026854,K.Eloi,Keith Eloi,11/1/1984,70,190,Nebraska-Omaha,0,
00-0026855,A.Smith,Antone Smith,9/17/1985,69,192,Florida State,6,44
00-0026852,D.Young,Darrel Young,4/8/1987,71,251,Villanova,7,36
00-0026850,A.Parrish,Gus Parrish,3/19/1987,77,305,Kent State,1,
00-0026851,J.Skolnitsky,J.D. Skolnitsky,11/6/1986,77,255,James Madison,0,
00-0030050,R.Armstrong,Ray-Ray Armstrong,3/5/1991,75,220,Miami (Fla.),4,54
00-0030052,G.Rivers,Gerald Rivers,6/22/1990,74,250,Mississippi,2,48
00-0030055,D.Thomas,Drew Thomas,10/26/1989,69,188,Texas-El Paso,,
00-0030054,,Phillip Steward,9/7/1990,73,235,Houston,1,54
00-0026858,G.Gano,Graham Gano,4/9/1987,74,205,Florida State,7,9
00-0026859,W.Johnson,Will Johnson,11/10/1985,77,285,Michigan,1,
00-0028069,D.House,Davon House,7/10/1989,72,196,New Mexico State,5,31
00-0028068,J.Harper,Jamie Harper,9/11/1989,71,233,Clemson,2,
00-0022009,M.Wilhelm,Matt Wilhelm,2/2/1981,74,245,Ohio State,8,
00-0022008,T.McGee,Terrence McGee,10/14/1980,69,205,Northwestern State-Louisiana,10,
00-0022005,C.Simms,Chris Simms,8/29/1980,76,230,Texas,8,
00-0022004,A.Crowell,Angelo Crowell,8/16/1981,73,246,Virginia,6,
00-0028063,T.Jones,Taiwan Jones,7/26/1988,72,195,Eastern Washington,6,22
00-0028062,O.Marecic,Owen Marecic,10/4/1988,72,245,Stanford,3,
00-0022001,K.Curtis,Kevin Curtis,7/17/1978,72,186,Utah State,9,
00-0022000,W.Hunter,Wayne Hunter,7/2/1981,77,318,Hawaii,9,
00-0022003,B.Askew,B.J. Askew,8/19/1980,75,233,Michigan,7,
00-0022002,K.Peterson,Kenny Peterson,11/21/1978,75,295,Ohio State,7,
00-0026939,W.Davis,Will Davis,6/2/1986,74,257,Illinois,3,
00-0026938,D.Wright,DeAndre Wright,4/13/1986,71,190,New Mexico,0,
00-0026935,B.McCain,Brice McCain,12/10/1986,69,190,Utah,8,33
00-0026934,B.Underwood,Brandon Underwood,6/24/1986,73,190,Cincinnati,3,
00-0026937,B.Gibson,Brandon Gibson,8/13/1987,72,210,Washington State,6,13
00-0026936,A.Afalava,Al Afalava,1/20/1987,71,212,Oregon State,4,
00-0026931,B.Pascoe,Bear Pascoe,2/23/1986,77,265,Fresno State,7,80
00-0026930,J.Wynn,Jarius Wynn,8/29/1986,75,285,Georgia,7,92
00-0026933,R.Henson,Robert Henson,1/27/1986,72,247,Texas Christian,3,
00-0021612,L.Bodden,Leigh Bodden,9/24/1981,73,193,Duquesne,9,
00-0029440,E.Igwenagu,Emil Igwenagu,3/27/1989,74,245,Massachusetts,2,47
00-0029441,J.Stewart,Jeremy Stewart,2/17/1989,71,215,Stanford,4,27
00-0029444,C.Harris,Cliff Harris,12/12/1990,71,180,Oregon,1,
00-0029445,P.Thomas,Phillip Thomas,11/15/1990,71,198,Syracuse,0,
00-0032761,,Robert Nkemdiche,9/19/1994,76,296,Mississippi,0,90
00-0030448,K.Short,Kawann Short,2/2/1989,75,315,Purdue,4,99
00-0030449,M.Hunt,Margus Hunt,7/14/1987,80,290,Southern Methodist,4,99
00-0030447,C.Hawkins,Charles Hawkins,8/30/1990,68,180,Southern University,1,18
00-0030444,J.Slaughter,Jamoris Slaughter,12/22/1989,72,195,Notre Dame,1,30
00-0030445,K.Walker,Kenronte Walker,7/28/1990,72,210,Missouri,,
00-0030442,J.Simon,John Simon,10/14/1990,73,252,Ohio State,4,51
00-0030443,L.Toilolo,Levine Toilolo,7/30/1991,80,265,Stanford,4,80
00-0030441,K.Long,Kyle Long,12/5/1988,78,320,Oregon,4,75
00-0004112,J.Dearth,James Dearth,1/22/1976,76,265,Tarleton State,12,
00-0029912,A.Baxter,Alan Baxter,3/28/1991,72,238,Northern Illinois,1,0
00-0029913,R.Dunn,Reggie Dunn,1/5/1989,69,180,Utah,1,14
00-0029910,T.Wright,Timothy Wright,4/7/1990,76,220,Rutgers,4,83
00-0023351,S.Thomas,Santonio Thomas,7/2/1981,76,305,Miami (Fla.),5,
00-0029916,,Mike Golic,9/28/1989,76,300,Notre Dame,1,66
00-0023354,B.McGowan,Brandon McGowan,9/26/1983,71,210,Maine,7,
00-0029915,,Mike Farrell,8/23/1989,78,306,Penn State,1,71
00-0029919,,Luke Ingram,7/24/1990,78,235,Hawaii,0,0
00-0027511,A.Morgan,Aaron Morgan,12/30/1988,76,250,Louisiana-Monroe,5,48
00-0027512,K.Quaye,Ko Quaye,5/11/1987,73,305,South Dakota,2,
00-0027513,R.Thomas,Roren Thomas,9/21/1987,70,172,Lindenwood,1,
00-0027514,T.Whitehead,Terrell Whitehead,9/18/1988,73,194,Norfolk State,2,
00-0027515,S.Pfahler,Steve Pfahler,8/21/1987,76,254,Montana,1,
00-0032510,,Calvin Heurtelou,4/10/1993,74,306,Miami (Fla.),0,63
00-0032511,,Ronald Zamort,11/10/1991,70,174,Western Michigan,0,38
00-0027518,D.Jones,Donald Jones,12/17/1987,72,208,Youngstown State,3,
00-0032518,,Justin Zimmer,10/23/1992,75,292,Ferris State,0,63
00-0032519,,Kyle Kragen,2/1/1993,74,245,California,0,41
00-0020528,S.Rogers,Shaun Rogers,3/12/1979,76,350,Texas,13,95
00-0020524,G.Warren,Gerard Warren,7/25/1978,76,330,Florida,11,
00-0020522,F.Smoot,Fred Smoot,4/17/1979,71,185,Mississippi State,9,
00-0026203,T.Thomas,Terrell Thomas,1/8/1985,72,202,USC,7,38
00-0026202,T.Wheatley,Terrence Wheatley,5/5/1985,69,185,Colorado,5,
00-0026201,M.Bennett,Martellus Bennett,3/10/1987,78,275,Texas A&M,9,83
00-0026200,P.Lee,Pat Lee,2/20/1984,72,200,Auburn,4,
00-0026207,C.Godfrey,Charles Godfrey,11/15/1985,71,210,Iowa,8,30
00-0026206,K.Langford,Kendall Langford,1/27/1986,78,305,Hampton,9,90
00-0026205,J.Greco,John Greco,3/24/1985,76,318,Toledo,9,77
00-0026204,K.Smith,Kevin Smith,12/17/1986,73,217,Central Florida,5,
00-0026209,J.Hester,Jacob Hester,5/8/1985,71,225,LSU,6,
00-0026208,C.Jackson,Chevis Jackson,12/11/1985,71,194,LSU,4,
00-0031157,,Anthony Grady,8/6/1990,79,289,Missouri State,0,64
00-0031156,,Tyler Ott,2/28/1992,75,252,Harvard,1,48
00-0031155,,James Morris,11/20/1991,73,245,Iowa,3,46
00-0031154,J.Deering,Jeremy Deering,8/12/1990,73,209,Rutgers,0,0
00-0031153,C.Young,Chris Young,1/9/1992,72,252,Arizona State,1,0
00-0031152,,Bryan Witzmann,6/16/1990,79,320,South Dakota State,1,76
00-0031151,M.Williams,Marcus Williams,3/24/1991,71,196,North Dakota State,3,20
00-0031150,,Nathan Slaughter,8/21/1992,70,185,West Texas A&M,2,0
00-0031158,G.Atkinson,George Atkinson,11/29/1992,73,220,Notre Dame,1,34
00-0032167,,P.J. Dawson,1/13/1993,72,240,Texas Christian,2,47
00-0032166,,Sammie Coates,3/31/1993,73,212,Auburn,2,14
00-0032165,,Marcus Peters,1/9/1993,72,197,Washington,2,22
00-0032164,,Arik Armstead,11/15/1994,79,292,Oregon,2,91
00-0032162,,T.Y. McGill,11/23/1992,72,310,North Carolina State,2,99
00-0032161,,Reshod Fortenberry,12/28/1990,77,275,Texas Tech,0,0
00-0032160,,Tyrell Williams,2/12/1992,76,205,Western Oregon,2,16
00-0032169,,Marcus Hardison,2/14/1992,75,315,Arizona State,2,91
00-0032168,,Josh Shaw,3/27/1992,73,201,USC,2,26
00-0032689,,Jason Vander Laan,9/22/1992,76,244,Ferris State,0,49
00-0024515,S.Rocca,Sav Rocca,11/20/1973,77,263,No College,7,6
00-0024517,C.Wilson,Chris Wilson,7/10/1982,76,243,Northwood,6,
00-0018234,D.Woody,Damien Woody,11/3/1977,75,327,Boston College,12,
00-0022581,C.Loeffler,Cullen Loeffler,1/27/1981,77,247,Texas,12,46
00-0014724,D.Sharper,Darren Sharper,11/3/1975,74,210,William & Mary,14,
00-0019940,C.Hoke,Chris Hoke,4/6/1976,74,305,Brigham Young,11,
00-0030204,G.Herd,Greg Herd,2/15/1991,75,202,Eastern Washington,0,81
00-0030207,A.Bailey,Alvin Bailey,8/26/1991,75,320,Arkansas,4,78
00-0030200,B.Magee,Brandon Magee,10/22/1990,71,255,Arizona State,2,53
00-0030201,T.Reed,Taylor Reed,8/7/1991,71,236,Southern Methodist,,
00-0030202,E.Rogers,Eric Rogers,2/12/1991,75,210,California Lutheran,1,14
00-0030203,D.Smith,Devin Smith,8/8/1990,71,186,Wisconsin,1,30
00-0018093,A.Winfield,Antoine Winfield,6/24/1977,69,180,Ohio State,15,
00-0030208,,Kenneth Boatright,3/6/1990,75,270,Southern Illinois,2,79
00-0032803,,Jalen Mills,4/6/1994,72,191,LSU,0,31
00-0031255,K.Edebali,Kasim Edebali,8/17/1989,74,253,Boston College,3,91
00-0031256,A.Barr,Anthony Barr,3/18/1992,77,255,UCLA,3,55
00-0023683,M.Hedgecock,Madison Hedgecock,8/27/1981,75,266,North Carolina,6,
00-0024738,E.Buckley,Eldra Buckley,6/23/1985,69,207,Tennessee-Chattanooga,5,
00-0001231,J.Bidwell,Josh Bidwell,3/13/1976,75,228,Oregon,11,
00-0001545,T.Bouman,Todd Bouman,8/1/1972,74,236,St. Cloud State,15,
00-0031253,K.Williams,K'Waun Williams,7/12/1991,69,183,Pittsburgh,3,36
00-0020329,A.Henry,Anthony Henry,11/3/1976,73,207,South Florida,9,
00-0023988,T.Davis,Tanard Davis,1/27/1983,70,190,Miami (Fla.),4,
00-0023982,R.Neill,Ryan Neill,12/12/1982,75,253,Rutgers,5,
00-0023981,M.Nance,Martin Nance,5/26/1983,75,212,Miami (Ohio),4,
00-0019613,R.Brown,Ralph Brown,9/16/1978,70,185,Nebraska,10,
00-0028274,T.Barnes,Tim Barnes,5/14/1988,76,306,Missouri,4,61
00-0028275,D.Berry,Damien Berry,10/21/1988,70,223,Miami (Fla.),2,
00-0028270,W.Saunders,Weslye Saunders,1/16/1989,77,261,South Carolina,4,47
00-0028271,E.Greenwood,Eric Greenwood,11/2/1988,79,223,Idaho,1,
00-0028278,J.Bynes,Josh Bynes,8/24/1989,73,235,Auburn,5,57
00-0028279,B.Hall,Bryan Hall,9/12/1988,72,280,Arkansas State,2,
00-0029585,Cha.Jones,Chandler Jones,2/27/1990,77,265,Syracuse,5,55
00-0029584,J.Brown,Jerry Brown,10/20/1987,76,265,Illinois,1,
00-0029587,R.Ellison,Rhett Ellison,10/3/1988,77,250,USC,5,85
00-0029586,D.Wolfe,Derek Wolfe,2/24/1990,77,285,Cincinnati,5,95
00-0029581,A.Freeman,Andre Freeman,5/6/1989,71,190,Slippery Rock,1,
00-0029580,R.Matthews,Rishard Matthews,10/12/1989,72,217,Nevada,5,18
00-0029583,K.Newhall-Caballero,Kyle Newhall-Caballero,2/19/1988,75,220,Brown,1,
00-0029589,S.Solomon,Scott Solomon,11/5/1988,75,260,Rice,4,54
00-0029588,D.Herron,Dan Herron,3/21/1989,70,213,Ohio State,3,47
00-0031632,,Denzelle Good,3/8/1991,77,355,Mars Hill,2,71
00-0031630,,Akeem King,10/29/1992,73,212,San Jose State,2,25
00-0031636,,Justin Hamilton,7/27/1993,74,315,Louisiana-Lafayette,2,74
00-0031634,,Tyson Chandler,2/2/1991,78,331,North Carolina State,0,79
00-0028189,T.Campbell,Tommie Campbell,9/19/1987,75,198,California (PA),5,29
00-0028186,E.Hagg,Eric Hagg,9/15/1989,73,205,Nebraska,3,37
00-0028187,D.Sampson,DeMarco Sampson,12/19/1985,74,204,San Diego State,1,0
00-0028184,J.Finley,Jay Finley,5/15/1988,71,203,Baylor,1,
00-0028185,J.Beal,Jeremy Beal,12/2/1987,75,280,Oklahoma,2,
00-0028182,L.Ziemba,Lee Ziemba,3/29/1989,78,313,Auburn,3,
00-0028183,M.Jasper,Michael Jasper,10/8/1986,76,375,Bethel College (Tenn.),1,0
00-0028180,M.Smith,Malcolm Smith,7/5/1989,72,225,USC,6,53
00-0028181,N.Bussey,Nate Bussey,2/20/1989,74,220,Illinois,2,
00-0032981,,Aziz Shittu,7/27/1994,74,288,Stanford,0,61
00-0032980,,Marcus Johnson,8/5/1994,73,204,Texas,0,84
00-0032983,,Dominique Alexander,4/20/1995,72,235,Oklahoma,0,54
00-0032982,,Louis Palmer,12/8/1994,74,265,Central Michigan,0,67
00-0032985,,Mikell Everette,10/22/1992,70,185,Sam Houston State,0,49
00-0032987,,Tracy Howard,4/29/1994,70,185,Miami (Fla.),0,41
00-0032986,,J.P. Holtz,8/28/1993,75,240,Pittsburgh,0,49
00-0032989,,Mike Matthews,1/27/1994,74,300,Texas A&M,0,60
00-0032988,,Nile Lawrence-Stample,7/14/1992,73,320,Florida State,0,70
00-0026396,M.Purify,Maurice Purify,1/17/1986,75,222,Nebraska,3,
00-0028986,C.Keenum,Case Keenum,2/17/1988,73,205,Houston,4,17
00-0028987,P.Supernaw,Phillip Supernaw,1/30/1990,77,248,Ouachita Baptist,3,89
00-0028984,B.Tyms,Brian Tyms,2/21/1989,75,204,Florida A&M,3,84
00-0028985,D.Hunter,David Hunter,9/19/1989,74,301,Houston,2,66
00-0028982,A.Mosley,Anthony Mosley,8/31/1989,72,178,Kentucky,1,
00-0028983,,Kevin Murphy,2/16/1990,79,305,Harvard,2,68
00-0028980,J.Hampton,Jewel Hampton,12/23/1989,69,210,Southern Illinois,2,33
00-0028981,J.Holland,Joe Holland,8/20/1988,73,229,Purdue,1,
00-0031989,,Harold Jones-Quartey,8/6/1993,71,210,Findlay,2,29
00-0028989,,Tommie Draheim,12/23/1988,76,309,San Diego State,1,60
00-0030925,R.Tjong-A-Tjoe,Ricky Tjong-A-Tjoe,4/4/1990,74,309,Boise State,2,73
00-0029058,D.Nowak,Drew Nowak,3/7/1990,75,292,Western Michigan,3,68
00-0030924,C.Tenpenny,Chase Tenpenny,8/6/1991,75,252,Nevada,0,0
00-0029053,R.Davis,Ryan Davis,2/24/1989,74,270,Bethune-Cookman,3,59
00-0029052,M.Brewster,Michael Brewster,7/27/1989,76,305,Ohio State,3,60
00-0029051,J.Boykin,Jarrett Boykin,11/4/1989,74,215,Virginia Tech,4,17
00-0029050,A.Blake,Antwon Blake,8/9/1990,69,198,Texas-El Paso,5,47
00-0029055,K.Elliott,Kevin Elliott,12/21/1988,75,205,Florida A&M,2,18
00-0029054,A.Dennard,Antonio Dennard,12/20/1989,71,190,Langston,1,35
00-0030926,C.Underwood,Colton Underwood,1/26/1992,75,255,Illinois State,1,87
00-0007308,C.Hentrich,Craig Hentrich,5/18/1971,75,213,Notre Dame,17,
00-0030921,T.Palepoi,Tenny Palepoi,12/19/1990,73,298,Utah,3,95
00-0030920,J.Herndon,Javontee Herndon,6/29/1991,72,194,Arkansas,2,81
00-0022218,E.Coleman,Erik Coleman,5/6/1982,70,207,Washington State,9,
00-0030923,,Jeremiah Sirles,8/8/1991,78,315,Nebraska,3,78
00-0024002,B.McKinney,Brandon McKinney,8/24/1983,74,345,Michigan State,8,68
00-0030922,,Alvin Scioneaux,5/2/1991,74,232,Wofford,2,48
00-0022214,T.Wharton,Travelle Wharton,5/19/1981,76,315,South Carolina,10,70
00-0022216,N.Vasher,Nathan Vasher,11/17/1981,71,185,Texas,8,
00-0022217,M.Moore,Mewelde Moore,7/24/1982,71,209,Tulane,9,
00-0026056,G.Banks,Gary Banks,11/4/1981,72,198,Troy,2,
00-0026057,J.Bell,Josh Bell,1/8/1985,71,177,Baylor,3,
00-0026054,E.Bakhtiari,Eric Bakhtiari,12/2/1984,75,250,San Diego,4,
00-0026053,J.West,Joe West,2/1/1984,73,208,Texas-El Paso,2,
00-0030851,,Eric Pike,3/19/1991,77,298,Towson,0,63
00-0030850,C.Parkey,Cody Parkey,2/19/1992,72,193,Auburn,3,1
00-0030581,A.Yates,Adam Yates,2/19/1990,73,195,South Carolina,,
00-0030855,Z.Tipton,Zurlon Tipton,4/27/1989,72,231,Central Michigan,2,0
00-0030586,R.Nassib,Ryan Nassib,3/10/1990,74,223,Syracuse,4,12
00-0030585,J.Pugh,Justin Pugh,8/15/1990,76,301,Syracuse,4,67
00-0029638,M.Floyd,Michael Floyd,11/27/1989,74,220,Notre Dame,5,15
00-0029637,L.Bryant,Lamont Bryant,1/6/1988,77,225,Morgan State,1,0
00-0030858,S.Clarke,Steven Clarke,4/19/1991,70,193,Vanderbilt,0,38
00-0029635,C.McSurdy,Caleb McSurdy,2/24/1990,73,237,Montana,2,43
00-0029634,J.Hanna,James Hanna,7/14/1989,76,260,Oklahoma,5,84
00-0029633,D.Coale,Danny Coale,6/27/1988,72,187,Virginia Tech,1,88
00-0029632,M.Sanu,Mohamed Sanu,8/22/1989,74,210,Rutgers,5,12
00-0029631,M.Burris,Miles Burris,6/27/1988,74,235,San Diego State,4,56
00-0029630,M.Brockers,Michael Brockers,12/21/1990,77,326,LSU,4,90
00-0024741,K.Grennan,Keith Grennan,5/20/1984,76,298,Eastern Washington,3,
00-0024745,L.Leonard,Louis Leonard,7/16/1984,76,325,Fresno State,5,
00-0033171,,Jesse Schmitt,8/25/1992,74,249,Purdue,0,0
00-0029670,M.Barron,Mark Barron,10/27/1989,74,213,Alabama,4,26
00-0029122,A.Henry,Aaron Henry,11/28/1988,72,208,Wisconsin,1,
